date,description,amount,category,merchant
2026-02-27,Gehalt,3500.00,income,Tech GmbH
2026-02-27,Tagesgeld Uebertrag,-250.00,savings,Scalable Capital
2026-03-01,Deutschlandticket,-49.00,transport,BVG
2026-03-02,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-03-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-03-04,REWE Einkauf,-47.63,food_groceries,REWE
2026-03-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-03-05,Flat white,-4.20,food_delivery,The Barn
2026-03-06,Nebenkostennachzahlung 2025,-138.00,housing,Hausverwaltung Krause
2026-03-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-03-08,Brunch,-29.50,entertainment,House of Small Wonder
2026-03-10,Heizkostenabrechnung,-42.00,utilities,Techem
2026-03-10,MediaMarkt Festplatte,-89.00,shopping,MediaMarkt
2026-03-12,Nextbike Leihrad,-9.00,transport,Nextbike
2026-03-14,Museumsinsel Eintritt,-19.00,entertainment,Staatliche Museen Berlin
2026-03-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-03-15,Disney Plus Abo,-9.99,subscriptions,Disney Plus
2026-03-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-03-17,Kaffee und Kuchen,-9.80,food_delivery,Cafe Anna Blume
2026-03-19,Bio Company Einkauf,-38.20,food_groceries,Bio Company
2026-03-20,Honorar Freelance Projekt,650.00,income,Studio Nord
2026-03-22,Baumarkt Farbe und Pinsel,-54.30,housing,OBI
2026-03-24,Tier Scooter,-4.50,transport,Tier
2026-03-26,Apotheke Rezept,-10.00,health,Apotheke am Kollwitzplatz
2026-03-28,Poke Bowl Lieferung,-15.90,food_delivery,Wolt
2026-03-31,Gehalt,3500.00,income,Tech GmbH
2026-03-31,Bitcoin Sparplan,-100.00,savings,Trade Republic
2026-04-01,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-04-01,Deutschlandticket,-49.00,transport,BVG
2026-04-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-04-03,Kaufland Grosseinkauf,-73.45,food_groceries,Kaufland
2026-04-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-04-05,Cortado,-3.40,food_delivery,Bonanza Coffee Heroes
2026-04-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-04-08,Rundfunkbeitrag Q2,-55.08,utilities,ARD ZDF Deutschlandradio
2026-04-09,Five Guys Mitnahme,-17.20,food_delivery,Five Guys
2026-04-11,Theaterkarte Volksbuehne,-24.00,entertainment,Volksbuehne
2026-04-13,Uniqlo Shirts,-49.90,shopping,Uniqlo
2026-04-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-04-15,Deutsche Bahn Hamburg,-56.90,transport,Deutsche Bahn
2026-04-16,Audible Abo,-9.95,subscriptions,Audible
2026-04-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-04-18,Wochenmarkt Gemuese,-21.30,food_groceries,Markt am Kollwitzplatz
2026-04-20,Wasser Abschlag,-24.00,utilities,Berliner Wasserbetriebe
2026-04-20,Osterbrunch Restaurant,-44.00,entertainment,Katz Orange
2026-04-22,Hausarzt Zuzahlung,-15.00,health,Hausarztpraxis Prenzlauer Berg
2026-04-24,Zinsen Verrechnungskonto,8.45,income,Trade Republic
2026-04-26,Doener XXL,-8.00,food_delivery,Mustafas Gemuesekebap
2026-04-28,PayPal an Freund,-25.00,other,PayPal
2026-04-30,Gehalt,3500.00,income,Tech GmbH
2026-04-30,Tagesgeld Uebertrag,-250.00,savings,Scalable Capital
2026-05-01,Deutschlandticket,-49.00,transport,BVG
2026-05-02,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-05-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-05-03,Netto Einkauf,-34.88,food_groceries,Netto
2026-05-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-05-05,Flat white und Banana Bread,-7.10,food_delivery,The Barn
2026-05-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-05-09,Vietnamesisch Mitnahme,-19.50,food_delivery,Monsieur Vuong
2026-05-10,Gasabschlag,-61.00,utilities,Gasag
2026-05-11,Clubnacht Eintritt,-20.00,entertainment,Berghain
2026-05-13,Decathlon Laufschuhe,-79.99,shopping,Decathlon
2026-05-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-05-15,Flixbus Dresden,-14.99,transport,Flixbus
2026-05-16,GitHub Copilot,-10.00,subscriptions,GitHub
2026-05-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-05-18,Alnatura Einkauf,-41.60,food_groceries,Alnatura
2026-05-20,Abendessen italienisch,-52.30,entertainment,Trattoria Toscana
2026-05-22,Fielmann Brille,-129.00,health,Fielmann
2026-05-24,Kleinanzeigen Verkauf Sofa,120.00,income,Kleinanzeigen
2026-05-26,Eis und Kaffee,-6.40,food_delivery,Cafe Anna Blume
2026-05-28,Mahngebuehr,-5.00,other,Vodafone
2026-05-29,Gehalt,3500.00,income,Tech GmbH
2026-05-29,Notgroschen Ruecklage,-150.00,savings,Trade Republic
2026-06-01,Deutschlandticket,-49.00,transport,BVG
2026-06-02,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-06-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-06-03,REWE Einkauf,-49.20,food_groceries,REWE
2026-06-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-06-05,Cappuccino to go,-3.80,food_delivery,Bonanza Coffee Heroes
2026-06-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-06-09,Burger Lieferung,-22.10,food_delivery,Lieferando
2026-06-10,Kontofuehrungsgebuehr,-4.90,other,Sparkasse
2026-06-11,Freiluftkino Kreuzberg,-11.00,entertainment,Freiluftkino Kreuzberg
2026-06-13,IKEA Regal und Deko,-96.50,shopping,IKEA
2026-06-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-06-15,ShareNow Carsharing,-18.40,transport,ShareNow
2026-06-16,Notion Abo,-8.00,subscriptions,Notion
2026-06-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-06-18,Markt Einkauf Gemuese,-28.90,food_groceries,Markt am Maybachufer
2026-06-20,Geburtstagsdinner,-61.00,entertainment,Lode und Stijn
2026-06-22,Massage Verspannung,-55.00,health,Physiopraxis Mitte
2026-06-24,Schluesseldienst,-89.00,housing,Schluesseldienst Berlin
2026-06-26,Thai Curry Mitnahme,-13.50,food_delivery,Wolt
2026-06-28,Kaffee und Franzbroetchen,-5.90,food_delivery,Zeit fuer Brot
2026-06-30,Gehalt,3500.00,income,Tech GmbH
2026-06-30,Bitcoin Sparplan,-100.00,savings,Trade Republic
2026-07-01,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-07-01,Deutschlandticket,-49.00,transport,BVG
2026-07-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-07-03,Aldi Einkauf,-36.42,food_groceries,Aldi
2026-07-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-07-05,Flat white,-4.20,food_delivery,The Barn
2026-07-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-07-08,Rundfunkbeitrag Q3,-55.08,utilities,ARD ZDF Deutschlandradio
2026-07-09,Falafel Teller Mitnahme,-8.50,food_delivery,Azzam
2026-07-10,Gasabschlag,-61.00,utilities,Gasag
2026-07-11,Open Air Konzert Wuhlheide,-58.00,entertainment,Kindl Buehne Wuhlheide
2026-07-13,Sommerkleidung,-74.85,shopping,Zalando
2026-07-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-07-15,Flughafen Express BER,-4.40,transport,Deutsche Bahn
2026-07-16,NYT Digital Abo,-4.00,subscriptions,New York Times
2026-07-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-07-18,Edeka Einkauf,-58.70,food_groceries,Edeka
2026-07-20,Wasser Abschlag,-24.00,utilities,Berliner Wasserbetriebe
2026-07-20,Brunch mit Familie,-47.20,entertainment,Benedict
2026-07-22,Apotheke Sonnencreme,-16.90,health,Apotheke am Kollwitzplatz
2026-07-24,Cashback Kreditkarte,12.60,income,American Express
2026-07-26,Kaffee und Kuchen,-8.40,food_delivery,Cafe Anna Blume
2026-07-28,Bargeldabhebung,-80.00,other,Sparkasse Geldautomat
2026-07-31,Gehalt,3500.00,income,Tech GmbH
2026-07-31,Tagesgeld Uebertrag,-300.00,savings,Scalable Capital
2026-08-01,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-08-01,Deutschlandticket,-49.00,transport,BVG
2026-08-03,Urban Sports Club Mitgliedschaft,-59.00,health,Urban Sports Club
2026-08-03,Lidl Einkauf,-29.95,food_groceries,Lidl
2026-08-05,Spotify Premium,-10.99,subscriptions,Spotify
2026-08-05,Cold Brew,-4.50,food_delivery,Bonanza Coffee Heroes
2026-08-07,Stromabschlag,-55.00,utilities,Vattenfall
2026-08-09,Pho Suppe Lieferung,-16.80,food_delivery,Monsieur Vuong
2026-08-10,Gasabschlag,-61.00,utilities,Gasag
2026-08-11,Kino Sommerfilm,-14.00,entertainment,CineStar
2026-08-13,Saturn Kopfhoerer,-59.00,shopping,Saturn
2026-08-15,Netflix Abo,-13.99,subscriptions,Netflix
2026-08-15,Bolt Fahrt,-11.90,transport,Bolt
2026-08-16,1Password Abo,-3.99,subscriptions,1Password
2026-08-16,ETF Sparplan MSCI World,-300.00,savings,Trade Republic
2026-08-18,Alnatura Einkauf,-44.10,food_groceries,Alnatura
2026-08-20,Abendessen Ramen,-33.00,entertainment,Cocolo Ramen
2026-08-22,Reiseimpfung Beratung,-40.00,health,Tropeninstitut
2026-08-24,Kaution Ratenzahlung,-100.00,housing,Hausverwaltung Krause
2026-08-26,Doener und Ayran,-9.00,food_delivery,Mustafas Gemuesekebap
2026-08-28,Erhoehtes Befoerderungsentgelt,-40.00,other,BVG
2026-08-29,Gehalt,3500.00,income,Tech GmbH
2026-08-29,Notgroschen Ruecklage,-150.00,savings,Trade Republic
2026-09-01,Miete Wohnung Prenzlauer Berg,-800.00,housing,Hausverwaltung Krause
2026-09-01,Deutschlandticket,-49.00,transport,BVG
2026-09-02,Wocheneinkauf,-45.30,food_groceries,REWE
2026-09-02,Flat white und Croissant,-6.20,food_delivery,The Barn
